#_elements,Avg_SeqSearch,Avg_BinSearch,
256,223.21875,8.03125,
257,240.6875,8.0625,
258,240.1875,7.96875,
259,252.75,8.0625,
260,230.71875,8.09375,
261,236.0625,8.25,
262,237.09375,8.09375,
263,231.5625,7.96875,
264,248.3125,7.96875,
265,250.1875,8.09375,
266,249.4375,8.1875,
267,241.59375,8.25,
268,237.0,8.15625,
269,251.46875,8.125,
270,251.03125,7.96875,
271,239.59375,8.25,
272,259.59375,8.1875,
273,235.53125,8.15625,
274,252.09375,8.25,
275,244.65625,8.15625,
276,249.78125,8.09375,
277,236.96875,8.21875,
278,233.25,8.125,
279,261.84375,8.21875,
280,266.625,7.875,
281,258.59375,8.15625,
282,245.40625,8.28125,
283,266.90625,8.21875,
284,257.5625,8.03125,
285,260.4375,8.1875,
286,272.1875,8.3125,
287,248.375,8.21875,
288,248.71875,8.09375,
289,281.03125,8.15625,
290,259.4375,8.0625,
291,267.9375,8.3125,
292,259.40625,8.34375,
293,274.78125,8.28125,
294,270.1875,8.40625,
295,246.125,8.125,
296,269.25,8.40625,
297,266.40625,8.375,
298,266.875,8.1875,
299,272.25,8.1875,
300,265.53125,8.40625,
301,281.3125,8.15625,
302,269.96875,8.15625,
303,271.03125,8.21875,
304,275.96875,8.34375,
305,288.53125,8.34375,
306,296.8125,8.125,
307,284.0625,8.40625,
308,282.21875,8.40625,
309,279.6875,8.1875,
310,271.6875,8.25,
311,301.875,8.21875,
312,271.1875,8.34375,
313,287.8125,8.0625,
314,298.5625,8.4375,
315,268.53125,8.40625,
316,278.46875,8.21875,
317,297.25,8.3125,
318,293.65625,8.46875,
319,264.0625,8.625,
320,298.6875,8.5,
321,293.46875,8.1875,
322,307.5625,8.5625,
323,287.59375,8.5,
324,306.15625,8.5,
325,307.15625,8.28125,
326,305.375,8.59375,
327,291.15625,8.3125,
328,276.53125,8.375,
329,277.5625,8.09375,
330,304.0625,8.40625,
331,300.53125,8.5625,
332,273.53125,8.40625,
333,304.84375,8.03125,
334,297.65625,8.4375,
335,312.0,8.5,
336,318.75,8.625,
337,325.65625,8.40625,
338,316.5,8.625,
339,289.3125,8.5,
340,317.40625,8.375,
341,320.96875,8.46875,
342,330.9375,8.53125,
343,319.9375,8.625,
344,334.4375,8.4375,
345,325.90625,8.25,
346,296.84375,8.59375,
347,337.71875,8.53125,
348,305.03125,8.65625,
349,321.9375,8.625,
350,314.28125,8.40625,
351,331.90625,8.53125,
352,301.53125,8.5625,
353,335.125,8.375,
354,332.3125,8.3125,
355,298.40625,8.65625,
356,332.78125,8.625,
357,330.5,8.5,
358,341.6875,8.65625,
359,337.0625,8.71875,
360,292.78125,8.28125,
361,331.53125,8.625,
362,324.75,8.65625,
363,331.9375,8.65625,
364,323.40625,8.5,
365,350.40625,8.5625,
366,329.59375,8.53125,
367,339.40625,8.53125,
368,337.0625,8.65625,
369,345.125,8.625,
370,342.65625,8.5625,
371,338.59375,8.5,
372,339.9375,8.53125,
373,327.53125,8.75,
374,325.125,8.65625,
375,333.59375,8.8125,
376,350.6875,8.59375,
377,366.78125,8.53125,
378,344.9375,8.625,
379,354.5625,8.71875,
380,334.625,8.53125,
381,342.40625,8.75,
382,350.71875,8.6875,
383,339.625,8.59375,
384,339.8125,8.71875,
385,361.3125,8.625,
386,346.125,8.6875,
387,350.4375,8.625,
388,365.0625,8.59375,
389,364.21875,8.78125,
390,349.625,8.65625,
391,345.78125,8.6875,
392,353.125,8.65625,
393,371.59375,8.71875,
394,375.875,8.84375,
395,338.0,8.625,
396,379.71875,8.78125,
397,374.5625,8.6875,
398,361.0,8.6875,
399,390.65625,8.75,
400,344.375,8.5,
401,354.375,8.75,
402,367.625,8.71875,
403,372.6875,8.6875,
404,356.1875,8.75,
405,374.0,8.875,
406,384.09375,8.5625,
407,378.125,8.53125,
408,359.3125,8.78125,
409,367.09375,8.875,
410,379.90625,8.59375,
411,374.65625,8.6875,
412,392.65625,8.71875,
413,335.65625,8.875,
414,367.0625,8.84375,
415,368.84375,8.65625,
416,392.59375,8.9375,
417,390.0625,8.75,
418,346.96875,8.5625,
419,372.1875,8.53125,
420,370.90625,8.5625,
421,351.09375,8.875,
422,377.375,8.875,
423,407.59375,8.4375,
424,380.59375,8.625,
425,415.90625,8.78125,
426,396.125,8.71875,
427,394.125,8.84375,
428,379.25,8.96875,
429,367.46875,8.65625,
430,387.375,8.625,
431,388.34375,8.84375,
432,390.78125,8.5625,
433,393.0625,8.6875,
434,421.375,8.875,
435,404.71875,8.71875,
436,414.625,8.8125,
437,417.53125,8.78125,
438,427.5,8.84375,
439,374.6875,8.84375,
440,405.0,8.875,
441,405.46875,8.59375,
442,421.0,8.8125,
443,432.0625,8.84375,
444,409.75,8.84375,
445,439.09375,8.65625,
446,430.53125,8.84375,
447,371.96875,8.96875,
448,409.28125,8.8125,
449,425.40625,8.90625,
450,417.5625,8.96875,
451,424.96875,8.8125,
452,425.25,9.0,
453,414.5625,8.8125,
454,400.46875,8.90625,
455,423.625,9.0,
456,426.15625,9.0,
457,423.625,8.90625,
458,395.09375,8.90625,
459,411.9375,8.9375,
460,420.0,8.90625,
461,390.4375,8.96875,
462,406.625,9.15625,
463,413.5,8.90625,
464,453.8125,8.9375,
465,400.46875,8.8125,
466,440.96875,8.8125,
467,432.1875,8.875,
468,440.59375,9.0,
469,410.4375,9.125,
470,452.0,8.875,
471,449.34375,8.78125,
472,426.8125,8.90625,
473,428.8125,8.8125,
474,420.0,8.625,
475,419.65625,8.9375,
476,447.9375,8.96875,
477,434.96875,9.0625,
478,440.40625,8.875,
479,423.5625,8.84375,
480,409.4375,8.90625,
481,428.6875,8.90625,
482,432.25,9.0625,
483,441.09375,9.09375,
484,431.6875,9.03125,
485,436.71875,8.875,
486,429.375,8.90625,
487,464.59375,9.0,
488,425.6875,8.875,
489,431.28125,8.90625,
490,450.46875,9.0,
491,419.65625,8.90625,
492,451.3125,9.0625,
493,451.46875,8.6875,
494,479.5625,9.0,
495,435.71875,9.0625,
496,463.4375,8.96875,
497,425.46875,9.03125,
498,462.625,8.9375,
499,446.15625,8.875,
500,481.15625,9.0,
501,408.78125,8.96875,
502,496.3125,9.03125,
503,457.59375,8.90625,
504,463.40625,9.0625,
505,470.625,8.875,
506,456.40625,8.90625,
507,453.65625,8.96875,
508,432.5625,9.0625,
509,467.03125,9.09375,
510,474.90625,9.0625,
511,484.09375,9.03125,
512,481.96875,9.03125,
513,483.25,8.96875,
514,482.0625,9.0,
515,483.40625,9.125,
516,442.03125,9.03125,
517,457.5625,9.21875,
518,411.6875,8.9375,
519,466.21875,8.90625,
520,470.6875,8.96875,
521,456.53125,9.03125,
522,476.375,9.15625,
523,492.5,9.0625,
524,479.625,9.125,
525,511.75,9.0,
526,496.1875,9.0625,
527,487.75,9.125,
528,496.53125,8.96875,
529,463.0,8.90625,
530,489.71875,9.125,
531,462.25,8.9375,
532,508.25,9.0,
533,487.59375,9.09375,
534,449.75,9.03125,
535,496.90625,9.125,
536,494.84375,8.90625,
537,493.34375,9.0,
538,485.6875,9.125,
539,498.84375,9.1875,
540,466.03125,9.25,
541,492.3125,9.25,
542,485.65625,9.0625,
543,504.1875,9.125,
544,522.96875,9.1875,
545,508.09375,9.28125,
546,516.96875,9.09375,
547,442.96875,9.28125,
548,438.625,9.28125,
549,462.8125,8.8125,
550,461.625,9.15625,
551,489.78125,9.40625,
552,493.40625,9.21875,
553,492.4375,9.0,
554,493.40625,9.25,
555,506.875,9.40625,
556,503.125,9.15625,
557,516.5,9.09375,
558,483.59375,8.96875,
559,475.9375,9.125,
560,531.15625,9.09375,
561,482.09375,9.0,
562,561.375,9.15625,
563,491.8125,9.1875,
564,546.375,9.125,
565,540.0625,8.90625,
566,503.3125,9.28125,
567,526.3125,9.03125,
568,498.6875,9.25,
569,536.3125,9.25,
570,511.65625,9.25,
571,552.1875,9.21875,
572,529.28125,9.15625,
573,516.03125,9.15625,
574,496.0,8.65625,
575,514.28125,9.3125,
576,544.0625,9.15625,
577,543.6875,8.84375,
578,560.40625,9.125,
579,505.0,9.375,
580,505.0,9.25,
581,525.25,9.25,
582,562.40625,9.21875,
583,533.5625,9.1875,
584,555.5,9.25,
585,568.8125,9.46875,
586,536.96875,9.25,
587,493.15625,9.40625,
588,553.1875,9.09375,
589,556.875,9.25,
590,542.25,9.0625,
591,584.78125,9.28125,
592,542.46875,9.25,
593,567.25,9.15625,
594,527.5,9.375,
595,577.875,9.375,
596,547.46875,9.28125,
597,535.90625,9.28125,
598,553.84375,9.4375,
599,540.34375,9.3125,
600,520.15625,9.625,
601,470.75,9.375,
602,545.6875,9.15625,
603,526.09375,9.1875,
604,561.59375,9.25,
605,524.8125,9.28125,
606,554.46875,9.28125,
607,543.375,9.46875,
608,564.1875,9.53125,
609,548.5625,9.34375,
610,551.15625,9.34375,
611,527.15625,9.5625,
612,569.875,9.3125,
613,581.84375,9.28125,
614,569.75,9.21875,
615,567.34375,9.46875,
616,584.90625,9.3125,
617,601.1875,9.28125,
618,543.03125,9.28125,
619,570.25,9.46875,
620,565.53125,9.34375,
621,590.59375,9.1875,
622,602.8125,9.34375,
623,576.0625,9.40625,
624,608.34375,9.40625,
625,586.0,9.53125,
626,560.40625,9.5625,
627,578.1875,9.28125,
628,565.15625,9.40625,
629,571.46875,9.15625,
630,582.375,9.34375,
631,587.25,9.46875,
632,533.875,9.125,
633,612.78125,9.34375,
634,564.6875,9.25,
635,573.9375,9.15625,
636,575.21875,9.375,
637,567.40625,9.3125,
638,583.625,9.375,
639,578.96875,9.5,
640,559.15625,9.53125,
641,558.8125,9.28125,
642,600.0,9.5,
643,577.8125,9.09375,
644,595.0,9.21875,
645,571.96875,9.5625,
646,621.1875,9.4375,
647,579.03125,9.6875,
648,592.0625,9.65625,
649,605.71875,9.21875,
650,604.28125,9.28125,
651,608.96875,9.5,
652,598.125,9.25,
653,616.75,9.3125,
654,583.34375,9.65625,
655,596.46875,9.28125,
656,602.0625,9.5,
657,555.0,9.03125,
658,578.1875,9.5,
659,601.25,9.40625,
660,629.5,9.3125,
661,578.59375,9.65625,
662,598.46875,9.5625,
663,620.3125,9.5625,
664,618.65625,9.34375,
665,619.125,9.40625,
666,591.84375,9.6875,
667,616.84375,9.46875,
668,640.34375,9.5,
669,591.625,9.53125,
670,605.28125,9.46875,
671,618.65625,9.25,
672,584.78125,9.59375,
673,613.09375,9.25,
674,648.25,9.4375,
675,650.09375,9.21875,
676,623.59375,9.28125,
677,601.84375,9.46875,
678,536.34375,9.375,
679,603.9375,9.5,
680,602.5,9.40625,
681,603.84375,9.59375,
682,638.96875,9.46875,
683,578.15625,9.6875,
684,659.1875,9.4375,
685,657.75,9.53125,
686,658.125,9.46875,
687,598.9375,9.40625,
688,636.0,9.40625,
689,571.25,9.375,
690,614.21875,9.5,
691,607.84375,9.53125,
692,691.1875,9.53125,
693,654.75,9.46875,
694,633.53125,9.65625,
695,666.59375,9.5625,
696,674.34375,9.625,
697,591.59375,9.71875,
698,638.65625,9.5625,
699,638.375,9.53125,
700,648.5625,9.59375,
701,646.0625,9.5625,
702,653.15625,9.5,
703,598.15625,9.75,
704,634.21875,9.5,
705,585.40625,9.5625,
706,621.0625,9.65625,
707,655.21875,9.28125,
708,540.125,9.40625,
709,648.75,9.5625,
710,675.5,9.375,
711,636.3125,9.53125,
712,666.09375,9.75,
713,660.75,9.4375,
714,709.46875,9.4375,
715,626.53125,9.625,
716,647.6875,9.59375,
717,639.53125,9.625,
718,640.4375,9.5625,
719,631.84375,9.40625,
720,656.40625,9.59375,
721,628.34375,9.3125,
722,714.4375,9.59375,
723,664.09375,9.3125,
724,632.125,9.8125,
725,676.28125,9.65625,
726,697.0625,9.5,
727,683.59375,9.59375,
728,609.0,9.4375,
729,694.75,9.59375,
730,669.25,9.5625,
731,680.21875,9.625,
732,691.71875,9.5,
733,639.59375,9.40625,
734,696.46875,9.28125,
735,657.84375,9.71875,
736,674.03125,9.40625,
737,670.3125,9.625,
738,679.28125,9.5625,
739,666.46875,9.4375,
740,698.53125,9.65625,
741,673.5625,9.5625,
742,672.90625,9.53125,
743,702.4375,9.46875,
744,665.25,9.78125,
745,701.4375,9.71875,
746,689.375,9.5625,
747,654.15625,9.46875,
748,640.90625,9.25,
749,682.625,9.59375,
750,636.625,9.53125,
751,695.46875,9.625,
752,639.59375,9.5,
753,699.71875,9.46875,
754,689.96875,9.71875,
755,728.09375,9.71875,
756,726.03125,9.78125,
757,704.8125,9.71875,
758,715.84375,9.5625,
759,673.3125,9.8125,
760,747.5,9.78125,
761,665.53125,9.5625,
762,689.09375,9.5625,
763,717.9375,9.625,
764,621.40625,9.71875,
765,675.4375,9.78125,
766,715.09375,9.75,
767,718.78125,9.6875,
768,690.59375,9.75,
769,680.0,9.84375,
770,723.28125,9.5,
771,693.65625,9.75,
772,748.15625,9.59375,
773,652.65625,9.65625,
774,707.28125,9.78125,
775,702.09375,9.75,
776,694.40625,9.78125,
777,698.46875,9.875,
778,696.53125,9.59375,
779,684.84375,9.71875,
780,732.03125,9.6875,
781,738.6875,9.53125,
782,680.84375,9.59375,
783,658.65625,9.46875,
784,687.8125,9.5625,
785,731.4375,9.8125,
786,725.5625,9.625,
787,667.8125,9.40625,
788,766.21875,9.71875,
789,682.40625,9.875,
790,737.78125,9.8125,
791,725.53125,9.71875,
792,736.09375,9.90625,
793,724.21875,9.65625,
794,744.3125,9.78125,
795,711.125,9.71875,
796,731.375,9.78125,
797,739.1875,9.65625,
798,730.0,9.75,
799,752.21875,9.75,
800,727.28125,9.59375,
801,699.75,9.625,
802,709.78125,9.59375,
803,752.71875,9.5,
804,731.40625,9.53125,
805,691.4375,10.0625,
806,741.3125,9.6875,
807,689.4375,9.28125,
808,785.25,9.71875,
809,739.15625,9.375,
810,752.53125,9.78125,
811,736.9375,9.59375,
812,714.15625,9.90625,
813,743.34375,9.6875,
814,758.15625,9.5,
815,722.1875,9.5625,
816,758.25,9.5,
817,667.1875,9.71875,
818,704.28125,9.40625,
819,757.25,9.625,
820,763.375,9.5625,
821,711.28125,9.96875,
822,753.625,9.625,
823,675.5,9.5625,
824,755.28125,9.59375,
825,760.25,9.90625,
826,795.65625,9.875,
827,763.125,9.6875,
828,799.96875,9.65625,
829,754.96875,9.6875,
830,764.3125,9.65625,
831,724.21875,9.90625,
832,707.3125,9.875,
833,725.34375,9.71875,
834,772.375,9.71875,
835,743.03125,9.59375,
836,796.78125,9.625,
837,735.3125,9.8125,
838,798.71875,9.90625,
839,742.84375,9.53125,
840,730.4375,9.6875,
841,783.15625,9.8125,
842,768.03125,9.75,
843,769.78125,9.46875,
844,767.78125,9.65625,
845,790.28125,10.0,
846,811.71875,9.84375,
847,743.625,9.65625,
848,814.90625,9.84375,
849,747.34375,9.75,
850,778.5,9.75,
851,786.53125,9.53125,
852,795.25,9.8125,
853,780.09375,9.84375,
854,778.59375,9.78125,
855,824.75,9.65625,
856,775.125,9.8125,
857,792.90625,9.71875,
858,791.15625,9.53125,
859,745.21875,9.90625,
860,782.71875,9.90625,
861,780.46875,9.71875,
862,732.9375,9.65625,
863,821.84375,9.875,
864,758.8125,9.75,
865,821.75,9.78125,
866,768.0625,9.8125,
867,850.28125,9.9375,
868,803.375,9.75,
869,802.78125,9.875,
870,826.0,9.84375,
871,821.90625,9.90625,
872,855.34375,9.9375,
